#,hora_local,hora_utc,cuenta,nombre,tipo,likes,reposts,respuestas,texto,url
18,2026-09-24 12:39,2026-09-24 17:39,@CancilleriaCol,Cancillería Colombia,,7,6,0,"#AEstaHora Colombia interviene ante la Asamblea General de las Naciones Unidas, en el 81.º período de sesiones. El vicepresidente José Manuel Restrepo ( @jrestrp ), el canciller Omar Bula y el embajador de Colombia ante la ONU, @JMauricioGaona , representan al país ante la",https://x.com/CancilleriaCol/status/2103177558883721297
19,2026-09-24 12:39,2026-09-24 17:39,@elmeridiano_co,EL MERIDIANO,,0,0,0,"#Colombia | El vicepresidente José Manuel Restrepo llegó a la sede de la Organización de las Naciones Unidas (ONU), en Nueva York, donde realizará su presentación ante la Asamblea General en representación del Gobierno de Colombia. Restrepo señaló que existe expectativa por el",https://x.com/elmeridiano_co/status/2103177641217949703
20,2026-09-24 12:40,2026-09-24 17:40,@kienyke,Kienyke,,0,0,0,En vivo l José Manuel Restrepo habla ante la ONU,https://x.com/kienyke/status/2103177760336421374
21,2026-09-24 12:40,2026-09-24 17:40,@Fortencrantz,David Mauricio Castrillon Kerrigan 孔天威,,3,0,0,Arrancó Jose Manuel Restrepo. En inglés.,https://x.com/Fortencrantz/status/2103177803755626988
22,2026-09-24 12:41,2026-09-24 17:41,@LuisFeLugo,Luis Felipe Lugo,,0,0,0,Comienza la intervención del Vicepresidente José Manuel Restrepo ante la Asamblea General de la ONU #UNGA #ONU,https://x.com/LuisFeLugo/status/2103178028167631250
23,2026-09-24 12:41,2026-09-24 17:41,@CABLENOTICIAS,CABLENOTICIAS,,1,1,0,EN VIVO: José Manuel Restrepo da discurso ante la Asamblea General de la ONU,https://x.com/CABLENOTICIAS/status/2103178050254909493
24,2026-09-24 12:41,2026-09-24 17:41,@OPITACERRONEIVA,OPITA-CERRO-NEIVA,,0,0,0,"Las veces que sean.... CON MOTIVO DE LA POSESIÓN DEL DOCTOR ABELARDO DE LA ESPRIELLA COMO PRESIDENTE DE COLOMBIA Y EL DOCTOR JOSE MANUEL RESTREPO VICEPRESIDENTE, RECOPILE ESTAS CANCIONES Y JINGLES QUE HEMOS CONOCIDO DURANTE LA CAMPAÑA Y DESPUES DE ELLA:**",https://x.com/OPITACERRONEIVA/status/2103178123814830573
25,2026-09-24 12:42,2026-09-24 17:42,@ELTIEMPO,EL TIEMPO,,0,0,0,"EN VIVO: El vicepresidente José Manuel Restrepo interviene ante la ONU. Siga la transmisión en vivo con los temas clave de su discurso, el contexto internacional y las reacciones oficiales:",https://x.com/ELTIEMPO/status/2103178191653265438
26,2026-09-24 12:42,2026-09-24 17:42,@Fortencrantz,David Mauricio Castrillon Kerrigan 孔天威,,2,1,0,"José Manuel Restrepo empieza su discurso en inglés, hablando por sí mismo. Después, aclara que leerá un discurso escrito por De La Espriella. A ese punto, pasa a hablar en español.",https://x.com/Fortencrantz/status/2103178375204614636
27,2026-09-24 12:43,2026-09-24 17:43,@ELTIEMPO,EL TIEMPO,,1,0,0,EN VIVO: El vicepresidente José Manuel Restrepo interviene a esta hora ante la ONU. Siga aquí la transmisión:,https://x.com/ELTIEMPO/status/2103178445136019494
28,2026-09-24 12:44,2026-09-24 17:44,@minuto60com,Minuto60,,2,1,0,"#Política | José Manuel Restrepo debutó ante la ONU como representante de Colombia y comenzó leyendo el discurso de Abelardo de la Espriella. El mensaje incluyó una referencia al terremoto de magnitud 7,4 que golpeó al país.",https://x.com/minuto60com/status/2103178755904594424
29,2026-09-24 12:44,2026-09-24 17:44,@lcvelez,Luis Carlos Vélez,,10,7,0,ENVIVO - José Manuel Restrepo en Asamblea de la ONU | Velez por la mañana https:// youtube.com/live/H0zSGllD- 74?is=NJ1wuJdSzFw0ZUjB … via @YouTube,https://x.com/lcvelez/status/2103178816210489610
30,2026-09-24 12:46,2026-09-24 17:46,@NoticiasONU,Noticias ONU,,4,5,1,"""Ningún país prospera cuando sus habitantes dejan de confiar en él. El gobierno tiene la tarea de que los colombianos y el mundo vuelvan a confiar en Colombia. A este propósito lo llamo la Patria Milagro"" José Manuel Restrepo @jrestrp , vicepresidente de Colombia #UNGA",https://x.com/NoticiasONU/status/2103179295338152240
31,2026-09-24 12:46,2026-09-24 17:46,@BluRadioCo,BluRadio Colombia,,1,0,1,"#AlAire A esta hora habla ante la ONU el vicepresidente de Colombia, José Manuel Restrepo Escúchelo aquí →",https://x.com/BluRadioCo/status/2103179331610808492
32,2026-09-24 12:46,2026-09-24 17:46,@hnieto78,Nano Nieto Romero,,2,1,0,EN VIVO. Declaración del Gobierno de Abelardo De La Espriella en la ONU. El vicepresidente José Manuel Restrepo transmite el discurso del jefe de Estado. Véalo aquí:,https://x.com/hnieto78/status/2103179343572673000
33,2026-09-24 12:46,2026-09-24 17:46,@NoticiasRCN,Noticias RCN,,44,10,3,#ATENCIÓN | Comienza la intervención del vicepresidente José Manuel Restrepo ante Naciones Unidas en Nueva York. Siga aquí la transmisión https:// brnw.ch/21x5Wqu,https://x.com/NoticiasRCN/status/2103179369023991919
34,2026-09-24 12:47,2026-09-24 17:47,@UltimaHoraCR,ÚltimaHoraCaracol,,28,11,0,"#Políticia | A esta hora, el vicepresidente José Manuel Restrepo ( @jrestrp ) interviene, en nombre del Gobierno de Colombia, ante la Asamblea General de la ONU. Inició agradeciendo a la comunidad internacional por la ayuda que han enviado para los damnificados por el terremoto",https://x.com/UltimaHoraCR/status/2103179654513246572
35,2026-09-24 12:48,2026-09-24 17:48,@monstergarach,Elsetentasgenario,,0,0,0,Imaginen la chivacoptero frenteando una reunión como la que frente a José Manuel Restrepo en la ONU ? I do you speak inglés ? Usted que me toca la ingle y yo que le meto su patada !!!!!,https://x.com/monstergarach/status/2103179835166322700
36,2026-09-24 12:48,2026-09-24 17:48,@josdavidbem,José David Benavides Merino,,3,0,0,La mejor representación de Colombia ante la ONU en muchísimos años ! Que bien el vice José Manuel Restrepo !,https://x.com/josdavidbem/status/2103179860382195740
37,2026-09-24 12:50,2026-09-24 17:50,@nms_kira,NMSKira,,1,0,0,"No, el siguiente es Jose Manuel Restrepo",https://x.com/nms_kira/status/2103180204873339356
38,2026-09-24 12:51,2026-09-24 17:51,@lafm,La FM,,3,0,0,"#Colombia | EN VIVO: Habla el vicepresidente José Manuel Restrepo desde la ONU Siga la transmisión en vivo, aquí:",https://x.com/lafm/status/2103180419869168035
39,2026-09-24 12:51,2026-09-24 17:51,@NOTICIASEDL,NOTICIAS EDL,,0,0,0,"#POLÍTICA | En este momento, el vicepresidente José Manuel Restrepo se dirige a la Asamblea General de la ONU en Nueva York, en nombre del gobierno colombiano. Comenzó agradeciendo a la comunidad internacional la ayuda enviada a las víctimas del terremoto del 10 de agosto.",https://x.com/NOTICIASEDL/status/2103180563150786806
40,2026-09-24 12:51,2026-09-24 17:51,@ELTIEMPO,EL TIEMPO,,7,1,1,Vicepresidente José Manuel Restrepo habla ante la Asamblea General de la ONU: las claves de su discurso,https://x.com/ELTIEMPO/status/2103180607329091938
41,2026-09-24 12:51,2026-09-24 17:51,@NoticiasCaracol,Noticias Caracol,,10,3,8,#Política l El vicepresidente José Manuel Restrepo interviene ante la Asamblea General de la ONU en Nueva York,https://x.com/NoticiasCaracol/status/2103180641424613614
42,2026-09-24 12:51,2026-09-24 17:51,@ELTIEMPO,EL TIEMPO,,12,1,2,"La intervención del vicepresidente José Manuel Restrepo ante la ONU inició con un mensaje enviado por el presidente De La Espriella en el cual afirmó: ""Le aseguré al pueblo colombiano que no saldré del país durante los 4 años de mi mandato, estoy cumpliendo esta promesa"".",https://x.com/ELTIEMPO/status/2103180662203195663
43,2026-09-24 12:52,2026-09-24 17:52,@JuanAndresGarcs,Juan Andres Garces Villarreal,,1,0,0,"Habla el señor vicepresidente José Manuel Restrepo, muy destacado, habla de las condiciones para la generación de riqueza en nuestra gran nación, nuevos modelos de educación donde menciona a Mompox, 4 años después, la Colombia respetable, sería e intelectual habla ante el mundo.",https://x.com/JuanAndresGarcs/status/2103180698945470859
44,2026-09-24 12:52,2026-09-24 17:52,@RevistaSemana,Revista Semana,,140,38,6,"""A quienes desde cualquier lugar del mundo están buscando dónde invertir, quiero invitarlos a que miren a Colombia"": vicepresidente José Manuel Restrepo en discurso de Gobierno ante la ONU. https:// semana.com/semana-tv/sema na-noticias/articulo/jose-manuel-restrepo-interviene-en-la-asamblea-general-de-la-onu/202615/ …",https://x.com/RevistaSemana/status/2103180795498115303
45,2026-09-24 12:54,2026-09-24 17:54,@jdukel,Jorge E. Duque L,,1,0,0,"Están oyendo al Vicepresidente José Manuel Restrepo, en representación de Abelardo de la Espriella en el discurso ante la ONU? Que cambio!!! Cómo perdimos 4 años de nuestras vidas en el pasado cercano? VAMOS COLOMBIA!!",https://x.com/jdukel/status/2103181216270672009
46,2026-09-24 12:55,2026-09-24 17:55,@Portafolioco,Portafolio,,2,0,0,"Vicepresidente José Manuel Restrepo @jrestrp habla ante la ONU El funcionario comparece en Nueva York, en el marco de la Asamblea General. Detalles",https://x.com/Portafolioco/status/2103181538045108315
47,2026-09-24 12:56,2026-09-24 17:56,@elcolombiano,El Colombiano,,4,0,0,Minuto a minuto | José Manuel Restrepo inicia su discurso en la Asamblea General de la ONU,https://x.com/elcolombiano/status/2103181687433650622
48,2026-09-24 12:56,2026-09-24 17:56,@McLovinPosso,Stiven,,0,0,0,Jose Manuel Restrepo es presidenciable,https://x.com/McLovinPosso/status/2103181735466799421
49,2026-09-24 12:56,2026-09-24 17:56,@NoticiasRCN,Noticias RCN,,17,7,2,"#Atención A esta hora, en representación del Gobierno, el vicepresidente José Manuel Restrepo ofrece su discurso ante la 81.ª Asamblea General de las Naciones Unidas",https://x.com/NoticiasRCN/status/2103181787534881143
